epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.558855,0.434856,1.362376,0.555756,2.995376e-04,45.11
2,1.196847,0.639035,1.214267,0.619650,2.981533e-04,12.32
3,1.008489,0.734670,1.249676,0.624473,2.958555e-04,12.35
4,0.899160,0.789536,1.198058,0.655817,2.926585e-04,12.41
5,0.809824,0.839477,1.165962,0.667872,2.885819e-04,12.48
6,0.730713,0.877697,1.197851,0.655817,2.836510e-04,12.29
7,0.677430,0.901648,1.184079,0.664256,2.778960e-04,12.28
8,0.629704,0.926958,1.242440,0.670886,2.713525e-04,12.27
9,0.596118,0.939698,1.248919,0.651597,2.640609e-04,12.39
1,1.564937,0.438594,1.377587,0.537071,2.995376e-04,45.45
2,1.203227,0.635808,1.273183,0.605184,2.981533e-04,12.21
3,1.030786,0.727535,1.156316,0.658831,2.958555e-04,12.30
4,0.884478,0.799388,1.275881,0.609403,2.926585e-04,12.39
5,0.807482,0.843893,1.238894,0.640747,2.885819e-04,12.33
6,0.726627,0.876508,1.192577,0.655817,2.836510e-04,12.35
7,0.677895,0.904026,1.222705,0.672092,2.778960e-04,12.28
8,0.634183,0.924070,1.208062,0.678722,2.713525e-04,12.18
9,0.587184,0.944794,1.266324,0.678119,2.640609e-04,12.37
10,0.577880,0.947511,1.228077,0.671489,2.560660e-04,12.19
11,0.560937,0.955835,1.197801,0.685353,2.474172e-04,12.18
