epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,lp,2.014220,0.151520,1.976276,0.166968,2.000000e-05,40.12
2,lp,1.956785,0.177680,1.914473,0.218204,4.000000e-05,10.19
3,ft,1.598582,0.389332,1.338199,0.518987,2.000000e-05,27.83
4,ft,1.210614,0.575675,1.136454,0.600362,4.000000e-05,27.26
5,ft,0.984170,0.684389,1.077384,0.625678,6.000000e-05,27.32
6,ft,0.823719,0.763547,1.089086,0.636528,8.000000e-05,27.21
7,ft,0.734419,0.804484,1.163491,0.625678,1.000000e-04,27.50
8,ft,0.635869,0.858502,1.105257,0.637734,8.154480e-08,27.37
9,ft,0.559620,0.891286,1.054651,0.660639,3.259132e-07,26.88
10,ft,0.521416,0.905215,1.040101,0.678119,7.323082e-07,27.75
11,ft,0.494937,0.916596,1.028665,0.679325,1.299404e-06,26.21
12,ft,0.464141,0.932563,1.026849,0.678722,2.025351e-06,26.68
13,ft,0.438424,0.941396,1.028409,0.682339,2.907782e-06,26.55
14,ft,0.415166,0.950229,1.036453,0.681736,3.943817e-06,26.57
15,ft,0.404729,0.953287,1.043605,0.687764,5.130079e-06,26.73
16,ft,0.387906,0.961271,1.056907,0.685955,6.462696e-06,26.83
17,ft,0.367421,0.969254,1.078813,0.682942,7.937323e-06,27.34
18,ft,0.356831,0.973331,1.078407,0.679325,9.549150e-06,27.66
19,ft,0.343262,0.977408,1.095080,0.679325,1.129292e-05,28.73
20,ft,0.331912,0.982844,1.133205,0.676914,1.316294e-05,27.71
